confirm?,hathi trust link,link,catalog search links,mms_id,dlxs_id,author,title,pub_date,pub_place,language
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf1187.1843.001,https://quod.lib.umich.edu/m/moa/AAF1187.1843.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=General%20register.,990000487890106381,AAF1187.1843.001,University of Michigan.,General register.,,Ann Arbor.,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf1187.1845.001,https://quod.lib.umich.edu/m/moa/AAF1187.1845.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=General%20register.,990000487890106381,AAF1187.1845.001,University of Michigan.,General register.,,Ann Arbor.,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf1187.1846.001,https://quod.lib.umich.edu/m/moa/AAF1187.1846.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=General%20register.,990000487890106381,AAF1187.1846.001,University of Michigan.,General register.,,Ann Arbor.,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf1187.1847.001,https://quod.lib.umich.edu/m/moa/AAF1187.1847.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=General%20register.,990000487890106381,AAF1187.1847.001,University of Michigan.,General register.,,Ann Arbor.,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf1187.1847.002,https://quod.lib.umich.edu/m/moa/AAF1187.1847.002/,https://search.lib.umich.edu/catalog?library=All+libraries&query=General%20register.,990000487890106381,AAF1187.1847.002,University of Michigan.,General register.,,Ann Arbor.,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf1187.1848.001,https://quod.lib.umich.edu/m/moa/AAF1187.1848.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=General%20register.,990000487890106381,AAF1187.1848.001,University of Michigan.,General register.,,Ann Arbor.,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf1187.1850.001,https://quod.lib.umich.edu/m/moa/AAF1187.1850.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=General%20register.,990000487890106381,AAF1187.1850.001,University of Michigan.,General register.,,Ann Arbor.,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf1187.1850.002,https://quod.lib.umich.edu/m/moa/AAF1187.1850.002/,https://search.lib.umich.edu/catalog?library=All+libraries&query=General%20register.,990000487890106381,AAF1187.1850.002,University of Michigan.,General register.,,Ann Arbor.,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf1187.1851.001,https://quod.lib.umich.edu/m/moa/AAF1187.1851.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=General%20register.,990000487890106381,AAF1187.1851.001,University of Michigan.,General register.,,Ann Arbor.,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf1187.1852.001,https://quod.lib.umich.edu/m/moa/AAF1187.1852.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=General%20register.,990000487890106381,AAF1187.1852.001,University of Michigan.,General register.,,Ann Arbor.,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf1187.1853.001,https://quod.lib.umich.edu/m/moa/AAF1187.1853.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=General%20register.,990000487890106381,AAF1187.1853.001,University of Michigan.,General register.,,Ann Arbor.,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf1187.1855.001,https://quod.lib.umich.edu/m/moa/AAF1187.1855.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=General%20register.,990000487890106381,AAF1187.1855.001,University of Michigan.,General register.,,Ann Arbor.,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf1187.1856.001,https://quod.lib.umich.edu/m/moa/AAF1187.1856.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=General%20register.,990000487890106381,AAF1187.1856.001,University of Michigan.,General register.,,Ann Arbor.,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf1187.1857.001,https://quod.lib.umich.edu/m/moa/AAF1187.1857.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=General%20register.,990000487890106381,AAF1187.1857.001,University of Michigan.,General register.,,Ann Arbor.,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf1187.1858.001,https://quod.lib.umich.edu/m/moa/AAF1187.1858.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=General%20register.,990000487890106381,AAF1187.1858.001,University of Michigan.,General register.,,Ann Arbor.,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf1187.1859.001,https://quod.lib.umich.edu/m/moa/AAF1187.1859.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=General%20register.,990000487890106381,AAF1187.1859.001,University of Michigan.,General register.,,Ann Arbor.,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf1187.1860.001,https://quod.lib.umich.edu/m/moa/AAF1187.1860.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=General%20register.,990000487890106381,AAF1187.1860.001,University of Michigan.,General register.,,Ann Arbor.,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf1187.1861.001,https://quod.lib.umich.edu/m/moa/AAF1187.1861.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=General%20register.,990000487890106381,AAF1187.1861.001,University of Michigan.,General register.,,Ann Arbor.,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf1187.1862.001,https://quod.lib.umich.edu/m/moa/AAF1187.1862.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=General%20register.,990000487890106381,AAF1187.1862.001,University of Michigan.,General register.,,Ann Arbor.,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf1187.1863.001,https://quod.lib.umich.edu/m/moa/AAF1187.1863.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=General%20register.,990000487890106381,AAF1187.1863.001,University of Michigan.,General register.,,Ann Arbor.,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf1187.1864.001,https://quod.lib.umich.edu/m/moa/AAF1187.1864.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=General%20register.,990000487890106381,AAF1187.1864.001,University of Michigan.,General register.,,Ann Arbor.,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf1187.1864.002,https://quod.lib.umich.edu/m/moa/AAF1187.1864.002/,https://search.lib.umich.edu/catalog?library=All+libraries&query=General%20register.,990000487890106381,AAF1187.1864.002,University of Michigan.,General register.,,Ann Arbor.,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf1187.1865.001,https://quod.lib.umich.edu/m/moa/AAF1187.1865.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=General%20register.,990000487890106381,AAF1187.1865.001,University of Michigan.,General register.,,Ann Arbor.,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf1187.1866.001,https://quod.lib.umich.edu/m/moa/AAF1187.1866.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=General%20register.,990000487890106381,AAF1187.1866.001,University of Michigan.,General register.,,Ann Arbor.,eng
